Age,Gender,MaritalStatus,IncomeLevel,LastLoginDate,LoginFrequency,ServiceUsage,TransactionDate,Year,Month,AmountSpent,ProductCategory,InteractionType,ResolutionStatus,DaysSinceLastInteraction,ChurnStatus
57,F,Divorced,Medium,2023-09-17,2,Website,2022-08-09,2022,8,41.7,Furniture,Feedback,Resolved,239,0
57,F,Divorced,Medium,2023-09-17,2,Website,2022-07-03,2022,7,104.0,Furniture,Feedback,Resolved,239,0
57,F,Divorced,Medium,2023-09-17,2,Website,2022-10-18,2022,10,204.16,Electronics,Feedback,Resolved,239,0
27,F,Married,High,2023-01-07,32,Mobile App,2022-10-24,2022,10,86.73,Books,NoInteraction,NoInteraction,-1,0
37,M,Single,Low,2023-04-22,17,Online Banking,2022-10-25,2022,10,263.24,Books,Inquiry,Unresolved,245,1
37,M,Single,Low,2023-04-22,17,Online Banking,2022-10-25,2022,10,263.24,Books,Feedback,Unresolved,108,1
37,M,Single,Low,2023-04-22,17,Online Banking,2022-11-09,2022,11,483.91,Clothing,Inquiry,Unresolved,245,1
37,M,Single,Low,2023-04-22,17,Online Banking,2022-11-09,2022,11,483.91,Clothing,Feedback,Unresolved,108,1
37,M,Single,Low,2023-04-22,17,Online Banking,2022-07-06,2022,7,240.92,Books,Inquiry,Unresolved,245,1
37,M,Single,Low,2023-04-22,17,Online Banking,2022-07-06,2022,7,240.92,Books,Feedback,Unresolved,108,1
37,M,Single,Low,2023-04-22,17,Online Banking,2022-06-10,2022,6,346.24,Clothing,Inquiry,Unresolved,245,1
37,M,Single,Low,2023-04-22,17,Online Banking,2022-06-10,2022,6,346.24,Clothing,Feedback,Unresolved,108,1
37,M,Single,Low,2023-04-22,17,Online Banking,2022-07-13,2022,7,253.68,Furniture,Inquiry,Unresolved,245,1
37,M,Single,Low,2023-04-22,17,Online Banking,2022-07-13,2022,7,253.68,Furniture,Feedback,Unresolved,108,1
37,M,Single,Low,2023-04-22,17,Online Banking,2022-09-26,2022,9,161.56,Electronics,Inquiry,Unresolved,245,1
37,M,Single,Low,2023-04-22,17,Online Banking,2022-09-26,2022,9,161.56,Electronics,Feedback,Unresolved,108,1
37,M,Single,Low,2023-04-22,17,Online Banking,2022-03-10,2022,3,297.33,Furniture,Inquiry,Unresolved,245,1
37,M,Single,Low,2023-04-22,17,Online Banking,2022-03-10,2022,3,297.33,Furniture,Feedback,Unresolved,108,1
39,M,Divorced,High,2023-06-27,24,Website,2022-06-02,2022,6,96.67,Electronics,Inquiry,Resolved,137,0
39,M,Divorced,High,2023-06-27,24,Website,2022-06-11,2022,6,472.21,Clothing,Inquiry,Resolved,137,0
39,M,Divorced,High,2023-06-27,24,Website,2022-01-13,2022,1,44.26,Groceries,Inquiry,Resolved,137,0
39,M,Divorced,High,2023-06-27,24,Website,2022-10-19,2022,10,378.14,Groceries,Inquiry,Resolved,137,0
39,M,Divorced,High,2023-06-27,24,Website,2022-05-26,2022,5,325.96,Clothing,Inquiry,Resolved,137,0
68,M,Married,High,2023-01-13,29,Online Banking,2022-09-07,2022,9,5.86,Furniture,NoInteraction,NoInteraction,-1,1
68,M,Married,High,2023-01-13,29,Online Banking,2022-10-31,2022,10,35.29,Clothing,NoInteraction,NoInteraction,-1,1
68,M,Married,High,2023-01-13,29,Online Banking,2022-08-02,2022,8,303.4,Groceries,NoInteraction,NoInteraction,-1,1
68,M,Married,High,2023-01-13,29,Online Banking,2022-09-08,2022,9,223.85,Furniture,NoInteraction,NoInteraction,-1,1
68,M,Married,High,2023-01-13,29,Online Banking,2022-01-19,2022,1,471.18,Furniture,NoInteraction,NoInteraction,-1,1
68,M,Married,High,2023-01-13,29,Online Banking,2022-06-05,2022,6,179.0,Groceries,NoInteraction,NoInteraction,-1,1
68,M,Married,High,2023-01-13,29,Online Banking,2022-09-10,2022,9,178.78,Electronics,NoInteraction,NoInteraction,-1,1
54,M,Divorced,Medium,2023-01-22,30,Online Banking,2022-06-06,2022,6,334.62,Books,Feedback,Resolved,63,0
54,M,Divorced,Medium,2023-01-22,30,Online Banking,2022-06-06,2022,6,334.62,Books,Feedback,Unresolved,338,0
54,M,Divorced,Medium,2023-01-22,30,Online Banking,2022-03-01,2022,3,462.0,Groceries,Feedback,Resolved,63,0
54,M,Divorced,Medium,2023-01-22,30,Online Banking,2022-03-01,2022,3,462.0,Groceries,Feedback,Unresolved,338,0
54,M,Divorced,Medium,2023-01-22,30,Online Banking,2022-09-22,2022,9,163.78,Books,Feedback,Resolved,63,0
54,M,Divorced,Medium,2023-01-22,30,Online Banking,2022-09-22,2022,9,163.78,Books,Feedback,Unresolved,338,0
54,M,Divorced,Medium,2023-01-22,30,Online Banking,2022-12-14,2022,12,426.06,Books,Feedback,Resolved,63,0
54,M,Divorced,Medium,2023-01-22,30,Online Banking,2022-12-14,2022,12,426.06,Books,Feedback,Unresolved,338,0
54,M,Divorced,Medium,2023-01-22,30,Online Banking,2022-10-03,2022,10,347.37,Groceries,Feedback,Resolved,63,0
54,M,Divorced,Medium,2023-01-22,30,Online Banking,2022-10-03,2022,10,347.37,Groceries,Feedback,Unresolved,338,0
41,F,Married,Low,2023-12-31,43,Website,2022-11-02,2022,11,87.1,Electronics,Feedback,Resolved,31,0
41,F,Married,Low,2023-12-31,43,Website,2022-11-02,2022,11,87.1,Electronics,Inquiry,Unresolved,352,0
24,F,Divorced,Low,2023-07-05,10,Mobile App,2022-09-27,2022,9,173.13,Electronics,Complaint,Resolved,156,0
24,F,Divorced,Low,2023-07-05,10,Mobile App,2022-07-23,2022,7,54.17,Clothing,Complaint,Resolved,156,0
24,F,Divorced,Low,2023-07-05,10,Mobile App,2022-08-10,2022,8,164.72,Books,Complaint,Resolved,156,0
42,M,Widowed,Medium,2023-01-10,26,Online Banking,2022-06-17,2022,6,442.99,Furniture,Complaint,Unresolved,158,0
42,M,Widowed,Medium,2023-01-10,26,Online Banking,2022-06-17,2022,6,442.99,Furniture,Feedback,Resolved,154,0
42,M,Widowed,Medium,2023-01-10,26,Online Banking,2022-04-17,2022,4,412.2,Furniture,Complaint,Unresolved,158,0
42,M,Widowed,Medium,2023-01-10,26,Online Banking,2022-04-17,2022,4,412.2,Furniture,Feedback,Resolved,154,0
42,M,Widowed,Medium,2023-01-10,26,Online Banking,2022-05-16,2022,5,186.37,Groceries,Complaint,Unresolved,158,0
42,M,Widowed,Medium,2023-01-10,26,Online Banking,2022-05-16,2022,5,186.37,Groceries,Feedback,Resolved,154,0
42,M,Widowed,Medium,2023-01-10,26,Online Banking,2022-11-08,2022,11,150.22,Books,Complaint,Unresolved,158,0
42,M,Widowed,Medium,2023-01-10,26,Online Banking,2022-11-08,2022,11,150.22,Books,Feedback,Resolved,154,0
42,M,Widowed,Medium,2023-01-10,26,Online Banking,2022-06-05,2022,6,478.59,Groceries,Complaint,Unresolved,158,0
42,M,Widowed,Medium,2023-01-10,26,Online Banking,2022-06-05,2022,6,478.59,Groceries,Feedback,Resolved,154,0
42,M,Widowed,Medium,2023-01-10,26,Online Banking,2022-10-16,2022,10,335.44,Clothing,Complaint,Unresolved,158,0
42,M,Widowed,Medium,2023-01-10,26,Online Banking,2022-10-16,2022,10,335.44,Clothing,Feedback,Resolved,154,0
42,M,Widowed,Medium,2023-01-10,26,Online Banking,2022-01-17,2022,1,468.35,Furniture,Complaint,Unresolved,158,0
42,M,Widowed,Medium,2023-01-10,26,Online Banking,2022-01-17,2022,1,468.35,Furniture,Feedback,Resolved,154,0
42,M,Widowed,Medium,2023-01-10,26,Online Banking,2022-02-21,2022,2,213.22,Groceries,Complaint,Unresolved,158,0
42,M,Widowed,Medium,2023-01-10,26,Online Banking,2022-02-21,2022,2,213.22,Groceries,Feedback,Resolved,154,0
42,M,Widowed,Medium,2023-01-10,26,Online Banking,2022-06-03,2022,6,156.21,Groceries,Complaint,Unresolved,158,0
42,M,Widowed,Medium,2023-01-10,26,Online Banking,2022-06-03,2022,6,156.21,Groceries,Feedback,Resolved,154,0
42,M,Divorced,Medium,2023-06-15,44,Online Banking,2022-03-28,2022,3,283.39,Books,Feedback,Unresolved,73,0
42,M,Divorced,Medium,2023-06-15,44,Online Banking,2022-03-28,2022,3,283.39,Books,Complaint,Unresolved,329,0
42,M,Divorced,Medium,2023-06-15,44,Online Banking,2022-11-11,2022,11,383.9,Electronics,Feedback,Unresolved,73,0
42,M,Divorced,Medium,2023-06-15,44,Online Banking,2022-11-11,2022,11,383.9,Electronics,Complaint,Unresolved,329,0
42,M,Divorced,Medium,2023-06-15,44,Online Banking,2022-04-15,2022,4,160.79,Books,Feedback,Unresolved,73,0
42,M,Divorced,Medium,2023-06-15,44,Online Banking,2022-04-15,2022,4,160.79,Books,Complaint,Unresolved,329,0
42,M,Divorced,Medium,2023-06-15,44,Online Banking,2022-01-20,2022,1,273.54,Furniture,Feedback,Unresolved,73,0
42,M,Divorced,Medium,2023-06-15,44,Online Banking,2022-01-20,2022,1,273.54,Furniture,Complaint,Unresolved,329,0
42,M,Divorced,Medium,2023-06-15,44,Online Banking,2022-05-20,2022,5,68.63,Groceries,Feedback,Unresolved,73,0
42,M,Divorced,Medium,2023-06-15,44,Online Banking,2022-05-20,2022,5,68.63,Groceries,Complaint,Unresolved,329,0
42,M,Divorced,Medium,2023-06-15,44,Online Banking,2022-01-26,2022,1,406.29,Groceries,Feedback,Unresolved,73,0
42,M,Divorced,Medium,2023-06-15,44,Online Banking,2022-01-26,2022,1,406.29,Groceries,Complaint,Unresolved,329,0
42,M,Divorced,Medium,2023-06-15,44,Online Banking,2022-08-16,2022,8,151.88,Furniture,Feedback,Unresolved,73,0
42,M,Divorced,Medium,2023-06-15,44,Online Banking,2022-08-16,2022,8,151.88,Furniture,Complaint,Unresolved,329,0
42,M,Divorced,Medium,2023-06-15,44,Online Banking,2022-12-16,2022,12,185.6,Clothing,Feedback,Unresolved,73,0
42,M,Divorced,Medium,2023-06-15,44,Online Banking,2022-12-16,2022,12,185.6,Clothing,Complaint,Unresolved,329,0
30,F,Single,Medium,2023-03-15,41,Online Banking,2022-11-25,2022,11,52.67,Books,Inquiry,Resolved,183,1
30,F,Single,Medium,2023-03-15,41,Online Banking,2022-11-25,2022,11,52.67,Books,Inquiry,Resolved,113,1
30,F,Single,Medium,2023-03-15,41,Online Banking,2022-07-23,2022,7,352.99,Books,Inquiry,Resolved,183,1
30,F,Single,Medium,2023-03-15,41,Online Banking,2022-07-23,2022,7,352.99,Books,Inquiry,Resolved,113,1
30,F,Single,Medium,2023-03-15,41,Online Banking,2022-11-22,2022,11,250.51,Furniture,Inquiry,Resolved,183,1
30,F,Single,Medium,2023-03-15,41,Online Banking,2022-11-22,2022,11,250.51,Furniture,Inquiry,Resolved,113,1
30,F,Single,Medium,2023-03-15,41,Online Banking,2022-11-14,2022,11,154.7,Books,Inquiry,Resolved,183,1
30,F,Single,Medium,2023-03-15,41,Online Banking,2022-11-14,2022,11,154.7,Books,Inquiry,Resolved,113,1
30,F,Single,Medium,2023-03-15,41,Online Banking,2022-08-09,2022,8,470.53,Clothing,Inquiry,Resolved,183,1
30,F,Single,Medium,2023-03-15,41,Online Banking,2022-08-09,2022,8,470.53,Clothing,Inquiry,Resolved,113,1
30,F,Single,Medium,2023-03-15,41,Online Banking,2022-08-07,2022,8,97.06,Electronics,Inquiry,Resolved,183,1
30,F,Single,Medium,2023-03-15,41,Online Banking,2022-08-07,2022,8,97.06,Electronics,Inquiry,Resolved,113,1
30,F,Single,Medium,2023-03-15,41,Online Banking,2022-12-14,2022,12,159.18,Furniture,Inquiry,Resolved,183,1
30,F,Single,Medium,2023-03-15,41,Online Banking,2022-12-14,2022,12,159.18,Furniture,Inquiry,Resolved,113,1
30,F,Single,Medium,2023-03-15,41,Online Banking,2022-09-01,2022,9,147.82,Furniture,Inquiry,Resolved,183,1
30,F,Single,Medium,2023-03-15,41,Online Banking,2022-09-01,2022,9,147.82,Furniture,Inquiry,Resolved,113,1
30,F,Single,Medium,2023-03-15,41,Online Banking,2022-11-13,2022,11,334.33,Books,Inquiry,Resolved,183,1
30,F,Single,Medium,2023-03-15,41,Online Banking,2022-11-13,2022,11,334.33,Books,Inquiry,Resolved,113,1
19,M,Married,Low,2023-09-03,8,Online Banking,2022-06-03,2022,6,67.2,Groceries,Inquiry,Unresolved,233,0
19,M,Married,Low,2023-09-03,8,Online Banking,2022-06-03,2022,6,67.2,Groceries,Inquiry,Resolved,238,0
19,M,Married,Low,2023-09-03,8,Online Banking,2022-09-29,2022,9,92.54,Electronics,Inquiry,Unresolved,233,0
19,M,Married,Low,2023-09-03,8,Online Banking,2022-09-29,2022,9,92.54,Electronics,Inquiry,Resolved,238,0
19,M,Married,Low,2023-09-03,8,Online Banking,2022-07-19,2022,7,344.04,Electronics,Inquiry,Unresolved,233,0
19,M,Married,Low,2023-09-03,8,Online Banking,2022-07-19,2022,7,344.04,Electronics,Inquiry,Resolved,238,0
19,M,Married,Low,2023-09-03,8,Online Banking,2022-07-23,2022,7,431.79,Books,Inquiry,Unresolved,233,0
19,M,Married,Low,2023-09-03,8,Online Banking,2022-07-23,2022,7,431.79,Books,Inquiry,Resolved,238,0
19,M,Married,Low,2023-09-03,8,Online Banking,2022-11-24,2022,11,121.62,Furniture,Inquiry,Unresolved,233,0
19,M,Married,Low,2023-09-03,8,Online Banking,2022-11-24,2022,11,121.62,Furniture,Inquiry,Resolved,238,0
19,M,Married,Low,2023-09-03,8,Online Banking,2022-06-27,2022,6,124.02,Clothing,Inquiry,Unresolved,233,0
19,M,Married,Low,2023-09-03,8,Online Banking,2022-06-27,2022,6,124.02,Clothing,Inquiry,Resolved,238,0
19,M,Married,Low,2023-09-03,8,Online Banking,2022-07-01,2022,7,444.06,Groceries,Inquiry,Unresolved,233,0
19,M,Married,Low,2023-09-03,8,Online Banking,2022-07-01,2022,7,444.06,Groceries,Inquiry,Resolved,238,0
56,F,Married,High,2023-11-24,37,Website,2022-05-27,2022,5,164.11,Groceries,Inquiry,Unresolved,52,1
56,F,Married,High,2023-11-24,37,Website,2022-08-30,2022,8,97.23,Furniture,Inquiry,Unresolved,52,1
56,F,Married,High,2023-11-24,37,Website,2022-04-28,2022,4,281.73,Books,Inquiry,Unresolved,52,1
56,F,Married,High,2023-11-24,37,Website,2022-02-08,2022,2,154.09,Furniture,Inquiry,Unresolved,52,1
56,F,Married,High,2023-11-24,37,Website,2022-01-14,2022,1,254.22,Books,Inquiry,Unresolved,52,1
57,F,Divorced,High,2023-03-08,39,Online Banking,2022-10-14,2022,10,382.15,Furniture,Complaint,Unresolved,32,0
57,F,Divorced,High,2023-03-08,39,Online Banking,2022-10-14,2022,10,382.15,Furniture,Complaint,Unresolved,256,0
57,F,Divorced,High,2023-03-08,39,Online Banking,2022-05-09,2022,5,477.83,Furniture,Complaint,Unresolved,32,0
57,F,Divorced,High,2023-03-08,39,Online Banking,2022-05-09,2022,5,477.83,Furniture,Complaint,Unresolved,256,0
57,F,Divorced,High,2023-03-08,39,Online Banking,2022-07-18,2022,7,19.8,Groceries,Complaint,Unresolved,32,0
57,F,Divorced,High,2023-03-08,39,Online Banking,2022-07-18,2022,7,19.8,Groceries,Complaint,Unresolved,256,0
57,F,Divorced,High,2023-03-08,39,Online Banking,2022-12-22,2022,12,125.66,Furniture,Complaint,Unresolved,32,0
57,F,Divorced,High,2023-03-08,39,Online Banking,2022-12-22,2022,12,125.66,Furniture,Complaint,Unresolved,256,0
57,F,Divorced,High,2023-03-08,39,Online Banking,2022-12-21,2022,12,11.82,Clothing,Complaint,Unresolved,32,0
57,F,Divorced,High,2023-03-08,39,Online Banking,2022-12-21,2022,12,11.82,Clothing,Complaint,Unresolved,256,0
41,M,Single,Low,2023-08-15,16,Website,2022-07-12,2022,7,345.75,Groceries,Feedback,Resolved,164,0
41,M,Single,Low,2023-08-15,16,Website,2022-12-17,2022,12,191.96,Electronics,Feedback,Resolved,164,0
41,M,Single,Low,2023-08-15,16,Website,2022-02-02,2022,2,324.99,Clothing,Feedback,Resolved,164,0
41,M,Single,Low,2023-08-15,16,Website,2022-11-26,2022,11,488.22,Clothing,Feedback,Resolved,164,0
41,M,Single,Low,2023-08-15,16,Website,2022-10-19,2022,10,39.34,Groceries,Feedback,Resolved,164,0
41,M,Single,Low,2023-08-15,16,Website,2022-09-14,2022,9,485.84,Clothing,Feedback,Resolved,164,0
41,M,Single,Low,2023-08-15,16,Website,2022-09-20,2022,9,122.1,Groceries,Feedback,Resolved,164,0
41,M,Single,Low,2023-08-15,16,Website,2022-04-14,2022,4,315.55,Furniture,Feedback,Resolved,164,0
41,M,Single,Low,2023-08-15,16,Website,2022-04-04,2022,4,462.1,Books,Feedback,Resolved,164,0
64,M,Divorced,High,2023-06-16,18,Website,2022-02-16,2022,2,97.31,Books,NoInteraction,NoInteraction,-1,0
64,M,Divorced,High,2023-06-16,18,Website,2022-04-09,2022,4,217.3,Groceries,NoInteraction,NoInteraction,-1,0
64,M,Divorced,High,2023-06-16,18,Website,2022-03-01,2022,3,64.35,Books,NoInteraction,NoInteraction,-1,0
64,M,Divorced,High,2023-06-16,18,Website,2022-03-19,2022,3,153.58,Books,NoInteraction,NoInteraction,-1,0
64,M,Divorced,High,2023-06-16,18,Website,2022-08-02,2022,8,380.48,Groceries,NoInteraction,NoInteraction,-1,0
42,F,Divorced,Low,2023-05-06,42,Mobile App,2022-08-12,2022,8,247.99,Furniture,Inquiry,Resolved,357,0
42,F,Divorced,Low,2023-05-06,42,Mobile App,2022-08-12,2022,8,247.99,Furniture,Inquiry,Resolved,146,0
42,F,Divorced,Low,2023-05-06,42,Mobile App,2022-10-07,2022,10,463.48,Groceries,Inquiry,Resolved,357,0
42,F,Divorced,Low,2023-05-06,42,Mobile App,2022-10-07,2022,10,463.48,Groceries,Inquiry,Resolved,146,0
42,F,Divorced,Low,2023-05-06,42,Mobile App,2022-10-19,2022,10,218.65,Clothing,Inquiry,Resolved,357,0
42,F,Divorced,Low,2023-05-06,42,Mobile App,2022-10-19,2022,10,218.65,Clothing,Inquiry,Resolved,146,0
42,F,Divorced,Low,2023-05-06,42,Mobile App,2022-05-30,2022,5,89.96,Furniture,Inquiry,Resolved,357,0
42,F,Divorced,Low,2023-05-06,42,Mobile App,2022-05-30,2022,5,89.96,Furniture,Inquiry,Resolved,146,0
42,F,Divorced,Low,2023-05-06,42,Mobile App,2022-09-26,2022,9,402.9,Books,Inquiry,Resolved,357,0
42,F,Divorced,Low,2023-05-06,42,Mobile App,2022-09-26,2022,9,402.9,Books,Inquiry,Resolved,146,0
42,F,Divorced,Low,2023-05-06,42,Mobile App,2022-02-01,2022,2,159.75,Furniture,Inquiry,Resolved,357,0
42,F,Divorced,Low,2023-05-06,42,Mobile App,2022-02-01,2022,2,159.75,Furniture,Inquiry,Resolved,146,0
35,F,Divorced,Low,2023-07-07,19,Mobile App,2022-11-07,2022,11,345.79,Groceries,Complaint,Unresolved,287,0
35,F,Divorced,Low,2023-07-07,19,Mobile App,2022-11-07,2022,11,345.79,Groceries,Complaint,Resolved,310,0
35,F,Divorced,Low,2023-07-07,19,Mobile App,2022-04-10,2022,4,457.01,Books,Complaint,Unresolved,287,0
35,F,Divorced,Low,2023-07-07,19,Mobile App,2022-04-10,2022,4,457.01,Books,Complaint,Resolved,310,0
35,F,Divorced,Low,2023-07-07,19,Mobile App,2022-01-19,2022,1,273.08,Groceries,Complaint,Unresolved,287,0
35,F,Divorced,Low,2023-07-07,19,Mobile App,2022-01-19,2022,1,273.08,Groceries,Complaint,Resolved,310,0
35,F,Divorced,Low,2023-07-07,19,Mobile App,2022-02-11,2022,2,414.86,Books,Complaint,Unresolved,287,0
35,F,Divorced,Low,2023-07-07,19,Mobile App,2022-02-11,2022,2,414.86,Books,Complaint,Resolved,310,0
55,M,Widowed,Medium,2023-10-04,12,Mobile App,2022-06-07,2022,6,76.78,Clothing,Complaint,Resolved,58,0
55,M,Widowed,Medium,2023-10-04,12,Mobile App,2022-12-12,2022,12,128.8,Books,Complaint,Resolved,58,0
55,M,Widowed,Medium,2023-10-04,12,Mobile App,2022-11-07,2022,11,431.03,Furniture,Complaint,Resolved,58,0
55,M,Widowed,Medium,2023-10-04,12,Mobile App,2022-02-11,2022,2,485.5,Groceries,Complaint,Resolved,58,0
55,M,Widowed,Medium,2023-10-04,12,Mobile App,2022-10-29,2022,10,21.11,Clothing,Complaint,Resolved,58,0
43,F,Married,Low,2023-02-15,27,Mobile App,2022-09-14,2022,9,330.41,Groceries,Feedback,Resolved,24,0
43,F,Married,Low,2023-02-15,27,Mobile App,2022-09-07,2022,9,392.9,Books,Feedback,Resolved,24,0
43,F,Married,Low,2023-02-15,27,Mobile App,2022-10-07,2022,10,41.46,Groceries,Feedback,Resolved,24,0
31,M,Single,Medium,2023-09-29,45,Mobile App,2022-12-10,2022,12,318.48,Books,Complaint,Resolved,18,1
31,M,Single,Medium,2023-09-29,45,Mobile App,2022-12-28,2022,12,45.91,Furniture,Complaint,Resolved,18,1
31,M,Single,Medium,2023-09-29,45,Mobile App,2022-07-31,2022,7,207.37,Clothing,Complaint,Resolved,18,1
26,M,Widowed,Medium,2023-10-01,22,Mobile App,2022-05-12,2022,5,288.66,Books,Feedback,Unresolved,200,0
26,M,Widowed,Medium,2023-10-01,22,Mobile App,2022-01-04,2022,1,344.59,Furniture,Feedback,Unresolved,200,0
26,M,Widowed,Medium,2023-10-01,22,Mobile App,2022-05-18,2022,5,390.78,Electronics,Feedback,Unresolved,200,0
26,M,Widowed,Medium,2023-10-01,22,Mobile App,2022-11-10,2022,11,415.81,Electronics,Feedback,Unresolved,200,0
26,M,Widowed,Medium,2023-10-01,22,Mobile App,2022-07-23,2022,7,191.92,Clothing,Feedback,Unresolved,200,0
26,M,Widowed,Medium,2023-10-01,22,Mobile App,2022-07-14,2022,7,172.02,Groceries,Feedback,Unresolved,200,0
26,M,Widowed,Medium,2023-10-01,22,Mobile App,2022-02-11,2022,2,348.97,Clothing,Feedback,Unresolved,200,0
26,M,Widowed,Medium,2023-10-01,22,Mobile App,2022-02-05,2022,2,57.85,Groceries,Feedback,Unresolved,200,0
27,F,Widowed,High,2023-10-26,42,Online Banking,2022-12-18,2022,12,56.85,Electronics,Complaint,Unresolved,260,0
27,F,Widowed,High,2023-10-26,42,Online Banking,2022-12-18,2022,12,56.85,Electronics,Inquiry,Unresolved,29,0
27,F,Widowed,High,2023-10-26,42,Online Banking,2022-01-26,2022,1,329.36,Books,Complaint,Unresolved,260,0
27,F,Widowed,High,2023-10-26,42,Online Banking,2022-01-26,2022,1,329.36,Books,Inquiry,Unresolved,29,0
27,F,Widowed,High,2023-10-26,42,Online Banking,2022-07-15,2022,7,467.92,Electronics,Complaint,Unresolved,260,0
27,F,Widowed,High,2023-10-26,42,Online Banking,2022-07-15,2022,7,467.92,Electronics,Inquiry,Unresolved,29,0
27,F,Widowed,High,2023-10-26,42,Online Banking,2022-01-06,2022,1,339.61,Furniture,Complaint,Unresolved,260,0
27,F,Widowed,High,2023-10-26,42,Online Banking,2022-01-06,2022,1,339.61,Furniture,Inquiry,Unresolved,29,0
27,F,Widowed,High,2023-10-26,42,Online Banking,2022-09-07,2022,9,325.01,Electronics,Complaint,Unresolved,260,0
27,F,Widowed,High,2023-10-26,42,Online Banking,2022-09-07,2022,9,325.01,Electronics,Inquiry,Unresolved,29,0
27,F,Widowed,High,2023-10-26,42,Online Banking,2022-11-04,2022,11,183.51,Electronics,Complaint,Unresolved,260,0
